fid,tipo,cd_geocodd,nm_municip,cd_geocodb,area_ha,area_km2,densid_pop,nm_subdist,nm_meso,nm_micro,cd_geocodi,cd_geocods,id,SHAPE__Length,nm_bairro,SHAPE__Area,nm_distrit,cd_geocodm
95,URBANO,292740805,SALVADOR, ,9.3874191,9.38743303,51.4517652,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060095,29274080506,51403,3227.43905077795, ,93874.18821435,SALVADOR,2927408
96,URBANO,292740805,SALVADOR, ,12.77577328,12.77579224,43.20671387,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060096,29274080506,51404,2283.87298926216, ,127757.74316719,SALVADOR,2927408
97,URBANO,292740805,SALVADOR, ,11.95508823,11.95510599,40.23385493,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060097,29274080506,51405,1728.06598983816, ,119550.89479662,SALVADOR,2927408
98,URBANO,292740805,SALVADOR, ,6.80528279,6.8052929,140.91972434,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060098,29274080506,51406,1548.66285855302, ,68052.820968175,SALVADOR,2927408
99,URBANO,292740805,SALVADOR, ,7.79945213,7.79946372,72.05623623,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060099,29274080506,51407,1241.64167458107, ,77994.527445105,SALVADOR,2927408
100,URBANO,292740805,SALVADOR, ,3.20230604,3.2023108,314.46042065,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060100,29274080506,51408,771.087380570379, ,32023.05926755,SALVADOR,2927408
101,URBANO,292740805,SALVADOR, ,2.00893543,2.00893841,340.47833201,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060101,29274080506,51409,589.189565351031, ,20089.34796692,SALVADOR,2927408
102,URBANO,292740805,SALVADOR, ,20.2603227,20.26035279,24.08645126,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060102,29274080506,51410,1963.94995989775, ,202603.217853415,SALVADOR,2927408
103,URBANO,292740805,SALVADOR, ,3.98114584,3.98115176,199.43977219,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060103,29274080506,51411,1159.46202981306, ,39811.46334967,SALVADOR,2927408
104,URBANO,292740805,SALVADOR, ,23.70866392,23.70869911,37.62332112,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060104,29274080506,51412,2424.94349963772, ,237086.63695773,SALVADOR,2927408
105,URBANO,292740805,SALVADOR, ,1.59011596,1.59011832,463.48752185,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060105,29274080506,51413,661.510016919197, ,15901.155504205,SALVADOR,2927408
106,URBANO,292740805,SALVADOR, ,1.46726767,1.46726985,439.59194029,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060106,29274080506,51414,557.527648896675, ,14672.67890482,SALVADOR,2927408
